Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JC211523,04/01/2019 03:00:00 PM,005XX W ARLINGTON PL,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1935,43,06,,,2019,,,
JC208563,04/01/2019 08:25:00 PM,026XX N DAYTON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1935,43,26,,,2019,,,
JC209083,04/02/2019 11:44:00 AM,016XX W LUNT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,2423,49,06,,,2019,,,
JC216267,04/01/2019 11:00:00 AM,057XX S KIMBARK AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,0235,5,06,,,2019,,,
JC209931,04/03/2019 09:15:00 AM,079XX S LANGLEY AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0624,6,06,,,2019,,,
JC219034,04/01/2019 09:45:00 AM,111XX S ROCKWELL ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",COMMERCIAL / BUSINESS OFFICE,false,false,2212,19,11,,,2019,,,
JC219498,04/01/2019 12:40:00 PM,105XX S GREEN BAY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,false,false,0432,10,11,,,2019,,,
JC212415,04/05/2019 07:10:00 AM,001XX W IDA B WELLS DR,0810,THEFT,OVER $500,CTA TRAIN,false,false,0121,4,06,,,2019,,,
JC216002,04/05/2019 07:30:00 PM,105XX S EGGLESTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,false,2233,34,08A,,,2019,,,
JC213690,04/05/2019 09:35:00 AM,023XX N LISTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1432,32,14,,,2019,,,
JC208498,04/02/2019 01:50:00 AM,002XX W ERIE ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,OTHER,false,false,1831,42,26,,,2019,,,
JC214820,04/06/2019 03:40:00 PM,0000X S LA SALLE ST,0820,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,false,false,0122,42,06,,,2019,,,
JC218074,04/07/2019 10:00:00 PM,049XX W BELDEN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2522,36,06,,,2019,,,
JC215040,04/07/2019 04:08:00 AM,001XX W CONGRESS PKWY,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,true,false,0123,25,04A,,,2019,,,
JC224569,04/01/2019 05:30:00 PM,017XX W DIVISION ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1424,1,06,,,2019,,,
JC218177,04/08/2019 01:20:00 PM,0000X N LA SALLE ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0122,42,06,,,2019,,,
JC218092,04/08/2019 05:01:00 AM,023XX W ADAMS ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1223,27,06,,,2019,,,
JC219246,04/09/2019 04:45:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0112,42,06,,,2019,,,
JC225596,04/10/2019 12:15:00 AM,009XX W margate ter,0810,THEFT,OVER $500,ALLEY,false,false,2024,48,06,,,2019,,,
JC219925,04/11/2019 06:49:00 AM,044XX W CONGRESS PKWY,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,PARKING LOT/GARAGE(NON.RESID.),false,false,1131,28,04A,,,2019,,,
JC228395,04/11/2019 07:00:00 AM,057XX S CICERO AVE,0890,THEFT,FROM BUILDING,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,false,false,0813,23,06,,,2019,,,
JC223160,04/11/2019 11:00:00 AM,044XX N WHIPPLE ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1724,33,06,,,2019,,,
JC220649,04/11/2019 12:10:00 PM,0000X W HURON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1832,2,11,,,2019,,,
JC221350,04/11/2019 09:45:00 PM,025XX E 91ST ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0423,7,11,,,2019,,,
JC220543,04/11/2019 01:55:00 PM,088XX S PAULINA ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,2221,21,11,,,2019,,,
JC220536,04/11/2019 11:00:00 AM,014XX S STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,,false,false,0131,3,11,,,2019,,,
JC226930,04/12/2019 12:00:00 PM,048XX N KILPATRICK AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,1712,39,06,,,2019,,,
JC224633,04/12/2019 08:30:00 PM,068XX N LAKEWOOD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2431,49,11,,,2019,,,
JC224635,04/12/2019 04:00:00 PM,001XX S MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GOVERNMENT BUILDING/PROPERTY,false,false,0114,42,11,,,2019,,,
JC222326,04/12/2019 12:40:00 PM,009XX N WINCHESTER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1212,2,06,,,2019,,,
JC225056,04/12/2019 07:00:00 PM,0000X E 9TH ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0123,4,06,,,2019,,,
JC226497,04/12/2019 09:00:00 AM,039XX N JANSSEN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1922,47,06,,,2019,,,
JC221744,04/12/2019 12:50:00 PM,034XX N AUSTIN AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,1633,36,08B,,,2019,,,
JC223997,04/13/2019 11:00:00 PM,008XX E 38TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0212,4,14,,,2019,,,
JC223176,04/13/2019 02:20:00 PM,006XX N TRUMBULL AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,false,false,1121,27,08B,,,2019,,,
JC224603,04/13/2019 09:00:00 PM,026XX W AINSLIE ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,2031,40,06,,,2019,,,
JC231811,04/11/2019 08:55:00 AM,061XX S INDIANA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0311,20,11,,,2019,,,
JC231682,04/07/2019 05:05:00 PM,053XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,0231,3,06,,,2019,,,
JC214427,04/06/2019 03:00:00 AM,055XX S CARPENTER ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,true,0712,16,02,,,2019,,,
JC226310,04/15/2019 06:13:00 PM,020XX W CORTEZ st,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1212,2,06,,,2019,,,
JC226476,04/15/2019 08:20:00 PM,125XX S STEWART AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BANK,false,false,0523,9,11,,,2019,,,
JC224688,04/14/2019 08:25:00 PM,054XX W NORTH AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,2532,37,06,,,2019,,,
JC223646,04/13/2019 09:30:00 PM,005XX E 103RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0511,9,08B,,,2019,,,
JC227198,04/14/2019 09:01:00 PM,032XX N ASHLAND AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1922,44,06,,,2019,,,
JC221225,04/12/2019 03:43:00 AM,056XX W BELMONT AVE,0610,BURGLARY,FORCIBLE ENTRY,DRUG STORE,false,false,1633,30,05,,,2019,,,
JC226688,04/16/2019 01:25:00 PM,021XX W CERMAK RD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,false,false,1234,25,14,,,2019,,,
JC228420,04/16/2019 05:13:00 PM,0000X S DEARBORN ST,0870,THEFT,POCKET-PICKING,CTA PLATFORM,false,false,0112,42,06,,,2019,,,
JC227770,04/16/2019 04:00:00 PM,038XX W PALMER ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2525,35,11,,,2019,,,
JC226990,04/16/2019 02:20:00 PM,019XX W IOWA ST,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,1212,2,06,,,2019,,,
JC225995,04/14/2019 11:00:00 PM,006XX S INDEPENDENCE BLVD,0810,THEFT,OVER $500,STREET,false,false,1133,24,06,,,2019,,,
JC234173,04/16/2019 05:30:00 PM,002XX S Michigan Ave,0890,THEFT,FROM BUILDING,OTHER,false,false,0113,42,06,,,2019,,,
JC226599,04/16/2019 12:40:00 PM,001XX W RANDOLPH ST,0460,BATTERY,SIMPLE,STREET,false,false,0122,42,08B,,,2019,,,
JC234458,04/07/2019 12:00:00 AM,009XX W 116TH PL,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,false,false,0524,34,02,,,2019,,,
JC230244,04/15/2019 03:00:00 PM,008XX W DIVERSEY PKWY,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,OTHER,false,false,1935,43,17,,,2019,,,
JC228600,04/17/2019 11:24:00 PM,081XX S ADA ST,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,VEHICLE NON-COMMERCIAL,false,true,0613,21,08B,,,2019,,,
JC227450,04/17/2019 02:11:00 AM,041XX N PONTIAC AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,true,true,1614,38,08B,,,2019,,,
JC228271,04/17/2019 03:45:00 PM,034XX W ARMITAGE AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1413,26,06,,,2019,,,
JC229229,04/17/2019 01:10:00 PM,078XX S RIDGELAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0414,8,11,,,2019,,,
JC228662,04/18/2019 01:20:00 AM,008XX S LOOMIS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,false,1231,28,08B,,,2019,,,
JC234246,04/11/2019 08:53:00 AM,048XX W HIRSCH ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,2533,37,17,,,2019,,,
JC233714,04/18/2019 08:55:00 AM,004XX E NORTH WATER ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,OTHER,false,false,1834,42,11,,,2019,,,
JC229968,04/18/2019 06:00:00 PM,031XX W SUNNYSIDE AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,1724,33,06,,,2019,,,
JC229206,04/18/2019 02:10:00 PM,029XX W ROSEMONT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,2413,50,08B,,,2019,,,
JC228915,04/18/2019 09:30:00 AM,031XX S PARNELL AVE,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,APARTMENT,false,true,0915,11,26,,,2019,,,
JC230119,04/18/2019 04:15:00 PM,012XX N GREENVIEW AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,1433,2,06,,,2019,,,
JC231024,04/18/2019 07:30:00 PM,026XX W FULLERTON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1431,1,06,,,2019,,,
JC229519,04/18/2019 10:00:00 AM,029XX S Wentworth Ave,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0914,11,06,,,2019,,,
JC232588,04/18/2019 08:30:00 PM,006XX W 120TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,0523,34,14,,,2019,,,
JC234307,04/10/2019 04:37:00 PM,102XX S VERNON AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,"SCHOOL, PUBLIC, BUILDING",false,false,0511,9,17,,,2019,,,
JC234484,04/11/2019 01:46:00 PM,045XX S DREXEL BLVD,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,0221,4,17,,,2019,,,
JC208250,04/01/2019 06:30:00 PM,025XX N LINDEN PL,0810,THEFT,OVER $500,STREET,false,false,1414,32,06,1154671,1916664,2019,41.927145399,-87.707069114,"(41.927145399, -87.707069114)"
JC209196,04/01/2019 07:50:00 PM,005XX W TAYLOR ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0124,25,06,1173111,1895890,2019,41.869750819,-87.63992721,"(41.869750819, -87.63992721)"
JC210581,04/03/2019 05:30:00 PM,042XX W GLADYS AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1132,28,08A,1148131,1898016,2019,41.876101914,-87.7315817,"(41.876101914, -87.7315817)"
JC212609,04/05/2019 11:15:00 AM,073XX W FOSTER AVE,0460,BATTERY,SIMPLE,ATHLETIC CLUB,false,false,1613,41,08B,1126603,1933723,2019,41.974473519,-87.809826125,"(41.974473519, -87.809826125)"
JC212666,04/05/2019 12:22:00 PM,054XX S RACINE AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0934,20,08B,1169252,1868611,2019,41.794979298,-87.65488558,"(41.794979298, -87.65488558)"
JC213259,04/05/2019 07:30:00 PM,048XX W WALTON ST,0560,ASSAULT,SIMPLE,STREET,false,false,1531,37,08A,1143898,1905870,2019,41.897734608,-87.746926916,"(41.897734608, -87.746926916)"
JC213643,04/06/2019 06:40:00 AM,039XX W GRAND AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2535,26,03,1150021,1908688,2019,41.905350437,-87.724364128,"(41.905350437, -87.724364128)"
JC214133,04/06/2019 02:00:00 PM,004XX N WELLS ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1831,42,06,1174655,1903373,2019,41.890250263,-87.63403495,"(41.890250263, -87.63403495)"
JC216122,04/06/2019 12:00:00 PM,042XX W NELSON ST,0820,THEFT,$500 AND UNDER,ALLEY,false,false,2523,31,06,1146966,1919934,2019,41.936269512,-87.73529816,"(41.936269512, -87.73529816)"
JC216232,04/08/2019 10:00:00 AM,013XX E 71ST PL,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0324,8,08A,1186428,1857864,2019,41.765099388,-87.592241476,"(41.765099388, -87.592241476)"
JC217052,04/08/2019 09:30:00 PM,0000X E 35TH ST,0330,ROBBERY,AGGRAVATED,CTA PLATFORM,true,false,0211,3,03,1177046,1881845,2019,41.831122218,-87.62590563,"(41.831122218, -87.62590563)"
JC223631,04/13/2019 08:40:00 PM,008XX N WABASH AVE,0560,ASSAULT,SIMPLE,OTHER,false,false,1833,2,08A,1176568,1906465,2019,41.89869187,-87.626916116,"(41.89869187, -87.626916116)"
JC223806,04/13/2019 06:45:00 PM,0000X W ILLINOIS ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1831,42,06,1175717,1903591,2019,41.890824651,-87.630128275,"(41.890824651, -87.630128275)"
JC226512,04/16/2019 11:00:00 AM,076XX N ASHLAND AVE,0560,ASSAULT,SIMPLE,SIDEWALK,true,true,2422,49,08A,1164298,1950668,2019,42.02025525,-87.670727526,"(42.02025525, -87.670727526)"
JC227315,04/15/2019 06:00:00 PM,002XX W SUPERIOR ST,0460,BATTERY,SIMPLE,OTHER,false,false,1831,42,08B,1174444,1905316,2019,41.895586679,-87.634751735,"(41.895586679, -87.634751735)"
JC236333,04/12/2019 04:15:00 PM,082XX S DREXEL AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,false,0631,8,11,,,2019,,,
JC230880,04/19/2019 08:15:00 PM,0000X E HARRISON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,HOTEL/MOTEL,false,false,0123,42,14,,,2019,,,
JC238351,04/13/2019 01:02:00 PM,073XX S ASHLAND AVE,0850,THEFT,ATTEMPT THEFT,OTHER,false,false,0734,17,06,,,2019,,,
JC238111,04/16/2019 12:00:00 AM,005XX E 104TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0512,9,08A,,,2019,,,
JC231827,04/19/2019 01:00:00 PM,002XX S WABASH AVE,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,0113,42,06,,,2019,,,
JC238040,04/11/2019 03:00:00 PM,047XX N ALBANY AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,1713,33,06,,,2019,,,
JC230300,04/19/2019 01:30:00 PM,090XX S UNIVERSITY AVE,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE,false,false,0413,8,03,,,2019,,,
JC237922,04/06/2019 08:30:00 AM,072XX S PAULINA ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,true,0735,17,05,,,2019,,,
JC237681,04/08/2019 10:00:00 AM,062XX S FAIRFIELD AVE,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",false,false,0825,16,06,,,2019,,,
JC230136,04/19/2019 09:00:00 AM,044XX N MALDEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1913,46,08B,,,2019,,,
JC238004,04/01/2019 09:00:00 AM,125XX S LOWE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0523,9,11,,,2019,,,
JC230849,04/19/2019 08:20:00 PM,080XX S MANISTEE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0422,7,14,,,2019,,,
JC237924,04/18/2019 10:00:00 AM,013XX S HARDING AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,NURSING HOME/RETIREMENT HOME,false,false,1011,24,04B,,,2019,,,
JC238376,04/19/2019 02:00:00 PM,061XX S KENWOOD AVE,500N,OTHER OFFENSE,ABUSE/NEGLECT: CARE FACILITY,NURSING HOME/RETIREMENT HOME,false,false,0314,20,26,,,2019,,,
JC229595,04/17/2019 12:00:00 AM,096XX S CALUMET AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,true,0511,9,08B,,,2019,,,
JC237786,04/04/2019 04:30:00 PM,008XX W ROOSEVELT RD,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1232,11,06,,,2019,,,
JC229866,04/19/2019 02:20:00 AM,015XX N DAMEN AVE,0460,BATTERY,SIMPLE,STREET,false,false,1424,1,08B,1162779,1910456,2019,41.909943862,-87.677450088,"(41.909943862, -87.677450088)"
JC235748,04/12/2019 02:28:00 PM,091XX S MARSHFIELD AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,2221,21,17,,,2019,,,
JC237654,04/19/2019 10:00:00 PM,055XX W ARDMORE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),false,false,1621,39,14,,,2019,,,
JC237755,04/08/2019 12:01:00 AM,004XX N ABERDEEN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,1214,27,11,,,2019,,,
JC237976,04/13/2019 03:00:00 PM,002XX W WASHINGTON ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0122,42,06,,,2019,,,
JC238311,04/11/2019 12:00:00 PM,121XX S EMERALD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,0523,34,26,,,2019,,,
JC237710,04/19/2019 04:00:00 PM,004XX W DEMING PL,0820,THEFT,$500 AND UNDER,STREET,false,false,1935,43,06,,,2019,,,
JC237974,04/04/2019 07:39:00 AM,056XX W GUNNISON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,false,false,1622,45,26,,,2019,,,
JC237610,04/16/2019 02:35:00 PM,044XX N PULASKI RD,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,false,false,1722,39,11,,,2019,,,
JC232932,04/19/2019 03:00:00 PM,034XX W 85TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0834,18,06,,,2019,,,
JC237700,04/18/2019 09:00:00 AM,067XX S STATE ST,0460,BATTERY,SIMPLE,CTA BUS,false,false,0322,6,08B,,,2019,,,
JC237847,04/12/2019 06:00:00 PM,005XX N MICHIGAN AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,1834,42,06,,,2019,,,
JC237768,04/13/2019 09:00:00 AM,004XX N CENTRAL AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1523,37,06,,,2019,,,
JC237655,04/15/2019 11:33:00 AM,002XX N PARKSIDE AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,1512,29,17,,,2019,,,
JC230736,04/19/2019 07:15:00 PM,005XX W 46TH ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0925,11,08A,,,2019,,,
JC237115,04/18/2019 04:00:00 PM,035XX N SHEFFIELD AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,false,false,1924,44,11,,,2019,,,
JC237657,04/18/2019 11:15:00 PM,009XX S WESTERN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1135,28,11,,,2019,,,
JC237893,04/10/2019 01:29:00 PM,025XX W CORTLAND ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1434,1,06,,,2019,,,
JC237816,04/14/2019 08:00:00 AM,038XX W OHIO ST,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,RESIDENCE,false,false,1122,27,11,,,2019,,,
JC237622,04/18/2019 10:00:00 AM,037XX W 26TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,false,false,1031,22,14,,,2019,,,
JC237977,04/16/2019 01:00:00 PM,064XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,2512,36,06,,,2019,,,
JC237728,04/18/2019 09:00:00 AM,087XX S WOOD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2221,21,11,,,2019,,,
JC233004,04/17/2019 05:30:00 PM,001XX N MICHIGAN AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,0114,42,03,,,2019,,,
JC238394,04/14/2019 02:30:00 AM,006XX N CLARK ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SIDEWALK,false,false,1832,42,11,,,2019,,,
JC233804,04/19/2019 12:00:00 PM,010XX N MONTICELLO AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1112,27,05,,,2019,,,
JC237925,04/19/2019 03:00:00 PM,001XX S CALIFORNIA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1124,27,11,,,2019,,,
JC229860,04/19/2019 02:10:00 AM,049XX W RICE ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1531,37,05,1143265,1905206,2019,41.895924365,-87.749268487,"(41.895924365, -87.749268487)"
JC231875,04/19/2019 08:30:00 PM,059XX W DIVERSEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,GROCERY FOOD STORE,false,false,2514,30,08B,,,2019,,,
JC237897,04/05/2019 01:50:00 PM,059XX N PAULINA ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,2012,40,06,,,2019,,,
JC237697,04/17/2019 12:00:00 AM,061XX W MIAMI AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,1611,39,11,,,2019,,,
JC237509,04/04/2019 07:00:00 PM,008XX W 63RD ST,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,BANK,false,false,0723,20,12,,,2019,,,
JC238385,04/14/2019 02:30:00 AM,006XX N CLARK ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1832,42,03,,,2019,,,
JC238186,04/13/2019 05:45:00 PM,048XX S GREENWOOD AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,0222,4,26,,,2019,,,
JC231445,04/19/2019 09:10:00 AM,039XX W GLADYS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1132,28,08B,,,2019,,,
JC230157,04/19/2019 11:27:00 AM,008XX W 119TH ST,0460,BATTERY,SIMPLE,LIBRARY,true,false,0524,34,08B,1172848,1825938,2019,41.677800201,-87.64295433,"(41.677800201, -87.64295433)"
JC238233,04/13/2019 02:00:00 PM,008XX W LILL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1935,43,11,,,2019,,,
JC238071,04/19/2019 02:00:00 PM,074XX S STONY ISLAND AVE,0810,THEFT,OVER $500,RESTAURANT,false,false,0324,8,06,,,2019,,,
JC237575,04/16/2019 12:00:00 PM,067XX N NORTHWEST HWY,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1612,41,14,,,2019,,,
JC237641,04/16/2019 10:00:00 AM,036XX W 58TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0822,23,11,,,2019,,,
JC238465,04/15/2019 12:00:00 PM,018XX N KEELER AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,2534,35,26,,,2019,,,
JC238599,04/13/2019 02:00:00 PM,081XX S MORGAN ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,false,false,0613,21,11,,,2019,,,
JC238905,04/11/2019 08:00:00 AM,052XX S MC VICKER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0811,14,14,,,2019,,,
JC236753,04/17/2019 12:00:00 PM,077XX S STATE ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,0623,6,03,,,2019,,,
JC237317,04/11/2019 11:00:00 PM,080XX S EUCLID AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0414,8,07,,,2019,,,
JC237594,04/09/2019 02:00:00 PM,072XX S STATE ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,0323,6,08B,,,2019,,,
JC238550,04/05/2019 10:00:00 AM,078XX S CARPENTER ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0612,17,06,,,2019,,,
JC238917,04/13/2019 10:00:00 PM,015XX N MILWAUKEE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BAR OR TAVERN,false,false,1424,1,11,,,2019,,,
JC238553,04/05/2019 10:00:00 AM,078XX S CARPENTER ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0612,17,11,,,2019,,,
