Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JC216043,04/05/2019 03:00:00 AM,003XX W OHIO ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,1831,42,08A,1173695,1904110,2019,41.892294049,-87.637538532,"(41.892294049, -87.637538532)"
JC215941,04/08/2019 07:00:00 AM,128XX S LOWE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0523,9,08B,1174332,1819475,2019,41.660031909,-87.637713361,"(41.660031909, -87.637713361)"
JC216062,04/07/2019 11:00:00 PM,004XX N DRAKE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1123,27,07,1152643,1902626,2019,41.888664236,-87.714893113,"(41.888664236, -87.714893113)"
JC216077,04/07/2019 06:00:00 AM,029XX S STATE ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0133,3,11,1176760,1885391,2019,41.840859176,-87.626847966,"(41.840859176, -87.626847966)"
JC216082,04/06/2019 07:00:00 PM,005XX W PEARSON ST,0460,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,false,false,1823,27,08B,1172482,1905946,2019,41.897359046,-87.641938996,"(41.897359046, -87.641938996)"
JC216109,04/07/2019 02:00:00 PM,001XX E DELAWARE PL,0820,THEFT,$500 AND UNDER,HOTEL/MOTEL,false,false,1833,2,06,1177786,1906673,2019,41.899235024,-87.622436193,"(41.899235024, -87.622436193)"
JC216123,04/08/2019 08:00:00 AM,013XX W 71ST PL,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0734,6,08A,1168529,1857348,2019,41.76408787,-87.657861248,"(41.76408787, -87.657861248)"
JC216034,04/05/2019 09:05:00 PM,001XX W LAKE ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,0122,42,06,1175259,1901734,2019,41.885739227,-87.63186601,"(41.885739227, -87.63186601)"
JC216061,04/07/2019 11:30:00 PM,020XX E 71ST ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,VEHICLE-COMMERCIAL,false,false,0331,5,11,1190856,1858321,2019,41.766247597,-87.575997062,"(41.766247597, -87.575997062)"
JC215982,04/08/2019 08:50:00 AM,001XX S PULASKI RD,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1115,28,08B,1149755,1898918,2019,41.878545705,-87.725595436,"(41.878545705, -87.725595436)"
